left_dataset,right_dataset,confidence_score
11763,60621,1.0
12068,55769,1.0
12321,81985,1.0
14127,20345,1.0
14835,12168,1.0
15425,43178,1.0
16706,89462,1.0
16987,11021,1.0
17888,82349,1.0
18265,2422,1.0
19185,47221,0.94
20775,61332,1.0
21060,29534,1.0
23248,47945,0.95
24508,19707,1.0
26897,9422,0.99
27922,63576,1.0
28168,23594,1.0
38964,1692,1.0
39195,56153,1.0
39824,26154,1.0
40091,79962,1.0
40210,53836,0.88
40429,72761,0.93
40461,72761,0.91
40659,33467,0.8
41173,4432,0.86
41710,17177,1.0
41907,33467,0.8
41920,20159,1.0
41987,53836,0.88
42046,89532,0.88
42455,16884,0.86
42491,45205,1.0
43015,64792,1.0
43121,1962,1.0
43482,4225,1.0
43494,67648,1.0
45050,64917,0.92
45051,85180,1.0
45053,31231,1.0
45054,31231,1.0
45095,825,0.83
45105,825,0.83
45247,40894,0.85
45402,20159,0.88
45518,83504,0.81
45715,89532,1.0
46383,87014,1.0
46479,15080,0.83
46730,64917,0.92
47216,85265,1.0
47369,73242,0.85
47371,40894,0.85
47372,80161,0.94
47485,29763,0.82
47521,12815,1.0
48140,87558,1.0
50010,87558,0.9
50248,14752,1.0
50254,12815,0.86
50519,51032,1.0
50528,51032,0.86
51157,15762,0.88
51239,86008,1.0
51379,19461,1.0
51403,6837,1.0
51691,91846,0.8
53195,61860,0.93
53993,75432,1.0
54107,89521,1.0
54524,51839,1.0
170,76825,1.0
517,59476,0.83
913,89790,1.0
1043,20323,0.96
1190,20323,1.0
1664,23266,1.0
1854,43522,1.0
1855,43522,1.0
2882,10009,1.0
3454,9706,1.0
3471,41221,1.0
3566,68915,1.0
3567,68915,0.93
3765,9706,1.0
3956,7015,1.0
5341,58804,1.0
6348,72558,0.96
6477,92318,0.92
7229,92318,0.95
7531,10588,0.81
7624,91653,1.0
8803,23405,0.8
9325,87294,1.0
10452,86757,0.82
10586,60931,1.0
10920,77036,0.84
11003,45747,1.0
11063,91653,1.0
12638,29259,0.86
14636,45747,1.0
15384,63220,1.0
15882,91632,1.0
16770,92381,0.85
17244,15593,0.92
17385,50754,0.83
19001,60292,0.8
19540,51473,1.0
19664,93910,0.87
19776,25910,1.0
20639,74450,1.0
20935,46147,0.85
21230,42460,0.95
21644,68448,1.0
